"artist","artistIds","asciiName","availability","boosterTypes","borderColor","colorIdentity","colors","edhrecSaltiness","faceName","finishes","flavorText","frameEffects","frameVersion","hasFoil","hasNonFoil","isFullArt","isFunny","isPromo","isReprint","isTextless","keywords","language","layout","name","number","orientation","originalText","originalType","otherFaceIds","power","promoTypes","relatedCards","reverseRelated","securityStamp","setCode","side","signature","subtypes","supertypes","text","toughness","type","types","uuid","watermark"
"","","","paper","","black","","",NA,"Mimic Match","nonfoil, foil","","",2015,1,1,NA,NA,NA,NA,NA,"","English","double_faced_token","Mimic Match // Mimic Match (cont'd)","4","","","","adcd1d63-fcaf-501b-93a4-237b86aad3d3","","","","","","MAFR","a","","","","2-4 players | 2+ packs | 10 minutes\nOBJECTIVE: Match and collect the most treasure chests before someone uncovers the mimics hiding amongst the loot!\nGET READY: Open one booster per player and remove any lands and cards without _Magic_ card backs, and then shuffle them together. Then put *two lands* back into the deck (to represent the mimics) and shuffle. Deal 16 cards face down in a *4x4 grid*. Randomly determine who goes first.\nLET'S PLAY:\nOn your turn, secretly look at *two cards* from the grid. If they share a *color* or *mana value*, you may reveal them, announce what matches and take those cards, then take another turn.","","Card","Card","af811a83-209b-55ab-bbeb-79f1634ef593",""
"","","","paper","","black","","",NA,"Mimic Match (cont'd)","nonfoil, foil","","",2015,1,1,NA,NA,NA,NA,NA,"","English","double_faced_token","Mimic Match // Mimic Match (cont'd)","4","","","","af811a83-209b-55ab-bbeb-79f1634ef593","","","","","","MAFR","b","","","","Otherwise, leave them in place, and the next player takes their turn.\nNOTE: Colorless cards can be matched with other colorless cards, but mimics can only be matched with each other.\nAfter a match has been made, replace the empty spaces with two new cards from the deck, face down.\nThe game ends when a player reveals the two mimics, uncovering them!\nTO WIN:\nAt the end of the game, each player scores 1 point for every card they collected. The player who uncovered the mimics by matching the two lands scores an additional 2 points. If there is a tie, the player who uncovered the mimics decides who wins!","","Card","Card","adcd1d63-fcaf-501b-93a4-237b86aad3d3",""
"","","","paper","","black","","",NA,"Roll for Initiative","nonfoil, foil","","",2015,1,1,NA,NA,NA,NA,NA,"","English","double_faced_token","Roll for Initiative // Roll for Initiative (cont'd)","5","","","","6dbd5dae-80bb-53f5-af12-28737fde3fc2","","","","","","MAFR","a","","","","2+ players | 1+ packs | 5 minutes | d20\nOBJECTIVE:\nAs you enter the room, the terrible dragon opens its eyes and lets out a roar. Everybody... roll for initiative! Roll a d20 and modify the result with some _Magic_ cards to get the highest initiative!\nGET READY:\nOpen a booster and remove all cards without _Magic_ card backs. Use an additional booster for groups of five players or more. Shuffle, then deal the same number of cards to each player. If there are extra cards after dealing, set them aside. Each player then rolls a d20 to determine their *initiative*. In case of a tie, the tied players roll again. The player with the lowest starting initiative goes first.\nLET'S PLAY:\nOn each player's turn, they play a card to modify a player's initiative (see reverse side for card effects). Cards with effects that will be counted at the end of the game should be placed in front of the target player. All other cards go into the discard pile.","","Card","Card","5c20a0d9-f2d8-563b-9f57-17673717d2bc",""
"","","","paper","","black","","",NA,"Roll for Initiative (cont'd)","nonfoil, foil","","",2015,1,1,NA,NA,NA,NA,NA,"","English","double_faced_token","Roll for Initiative // Roll for Initiative (cont'd)","5","","","","5c20a0d9-f2d8-563b-9f57-17673717d2bc","","","","","","MAFR","b","","","","Play continues until all players are out of cards.\n*White Card*: At the end of the game, increase a player's roll by 2.\n*Blue Card*: Reroll another player's die, but use the new result only if it's lower.\n*Black Card*: At the end of the game, decrease a player's roll by 2.\n*Red Card*: Reroll another player's die. They must use the new result.\n*Green Card*: Reroll your own die, but use the new result only if it's higher.\n*Colorless Card*: Each player may reroll their die. if they do, they must use the new result.\n*Multicolored Card*: Apply the effects of each of the card's colors. Each effect can target a different player.\n*Any Card Played Face Down*: At the end of the game, increase or decrease a player's die roll by 1.\nTO WIN:\nOnce everyone is out of cards, check to see who has the highest roll. That player wins initiative!","","Card","Card","6dbd5dae-80bb-53f5-af12-28737fde3fc2",""
"","","","paper","","black","","",NA,"Mishra's Manufactory","nonfoil, foil","","",2015,1,1,NA,NA,NA,1,NA,"","English","double_faced_token","Mishra's Manufactory // Mishra's Manufactory (cont'd)","1","","","","295a6d01-97fe-5c91-b735-a2cda73e719d","","","","","","MBRO","a","","","","2-4 players | 2-4 packs | 10 min\nOBJECTIVE:\nTake on the role of one of Mishra's assembly workers and assemble the best invention from the mishmash of parts streaming down the conveyor belt. Strategically collect cards based on their color to win.\nGET READY:\nOpen one booster for each player, remove all cards without _Magic_ card backs, and shuffle the rest together. Reveal four cards in a row stretching from the deck. These form the *conveyor belt*. The two cards closest to the deck are at the *back of the line* and the other two cards are at the *front*. Randomly determine who goes first.\nLET'S PLAY:\nOn their turn, each player drafts one card from the conveyor belt. The two cards at the front of the line are free, but a player must discard a card they've already collected to draft a card from the back of the","","Card","Card","ece8dc43-8a3d-535f-b178-4e521cb4a7a6",""
"","","","paper","","black","","",NA,"Mishra's Manufactory (cont'd)","nonfoil, foil","","",2015,1,1,NA,NA,NA,1,NA,"","English","double_faced_token","Mishra's Manufactory // Mishra's Manufactory (cont'd)","1","","","","ece8dc43-8a3d-535f-b178-4e521cb4a7a6","","","","","","MBRO","b","","","","line. Cards then slide forward to fill in the gap, and a card from the deck is added to the back of the line. Drafted cards are kept face up in front of each player, grouped by color (including colorless.) Play then passes clockwise.\nLands are wild (they count as any color, including colorless), and a multicolored card can be any of its colors. When you draft a wild or multicolored card, declare its color and place it in the corresponding group.\nTO WIN:\nThe game ends when all cards have been collected. For each color, the player with the largest group of cards of that color gets *3 points*, and the player with the second largest group gets *2 points*. The card with the highest mana value breaks ties. If there is still a tie, each tied player gets half the points, rounded up.\nPlayers also earn points for the number of groups they've collected: four groups = *2 points*, five groups = *4 points*, six groups = *6 points*.\nThe player with the most points wins!","","Card","Card","295a6d01-97fe-5c91-b735-a2cda73e719d",""
"","","","paper","","black","","",NA,"Urza's Blueprints (minigame)","nonfoil, foil","","",2015,1,1,NA,NA,NA,1,NA,"","English","double_faced_token","Urza's Blueprints (minigame) // Urza's Blueprints (cont'd)","2","","","","c0bd8269-07b8-5451-a65a-e794ae43d64c","","","","","","MBRO","a","","","","2+ players | 2+ packs | 10 min\nOBJECTIVE:\nYou've unearthed Urza's ancient blueprints for his Power Plant, Tower, and Mine! Race your fellow artificers to assemble all three iconic locations.\nGET READY:\nOpen a booster for each player and remove any cards without _Magic_ card backs. Shuffle the remaining cards into a deck and deal five cards to each player. Randomly determine who goes first.\nLET'S PLAY:\nOn each player's turn, they draw a card, then discard a card face up. Players may draw either the top card of the deck or the top card of the discard pile. If there are no cards left in the deck when a player tries to draw, shuffle the discard pile to form a new deck.","","Card","Card","619de2a0-735a-5a63-a747-31398b96b00d",""
"","","","paper","","black","","",NA,"Urza's Blueprints (cont'd)","nonfoil, foil","","",2015,1,1,NA,NA,NA,1,NA,"","English","double_faced_token","Urza's Blueprints (minigame) // Urza's Blueprints (cont'd)","2","","","","619de2a0-735a-5a63-a747-31398b96b00d","","","","","","MBRO","b","","","","After discarding, if a player has all the cards required for a new location (see below), they may reveal those cards and note they have constructed their version of that location. They must then discard all cards in their hand and draw a new hand of five cards. Play then passes to the next player.\nFoils are wild and can cont as any color, mana value, or card type.\nTO WIN:\nThe first player to construct all three locations wins!\nTHE LOCATIONS:\n*Mine:* Requires five cards with different card types. (Creature, artifact, land, etc.)\n*Power Plant:* Requires one card of each color. (White, blue, black, red, and green. Multicolored cards count as one color of your choice. Lands are colorless.)\n*Tower:* Requires five cards with different mana values. (Lands have mana value 0.)","","Card","Card","c0bd8269-07b8-5451-a65a-e794ae43d64c",""
"","","","paper","","black","","",NA,"Look at Us, We're R&D","nonfoil, foil","","",2015,1,1,NA,NA,NA,NA,NA,"","English","double_faced_token","Look at Us, We're R&D // Look at Us, We're R&D (cont'd)","3","","","","f97782cb-22dc-563e-80bc-a51cca0e1815","","","","","","MBRO","a","","","","3+ players | 1 pack | 10 min | Pen & Paper\nOBJECTIVE:\nMagic _Magic_ takes a team!! Work together to design and illustrate a unique _Magic_ card.\nGET READY:\nOpen a booster, remove all non-_Magic_ cards and shuffle the rest. Have one player be an artist and another be a writer, then the remaining players will be designers.\nLET'S PLAY:\nThe designers take turns filling out the different parts of a card with pen and paper. To determine these, they draw a random card from the pack, pick one of the categories, and copy it from the card (if it's missing the category you want, draw another). The designers continue until these are all filled in:","","Card","Card","bad83e8b-d79b-5df4-90de-c62704d96ace",""
"","","","paper","","black","","",NA,"Look at Us, We're R&D (cont'd)","nonfoil, foil","","",2015,1,1,NA,NA,NA,NA,NA,"","English","double_faced_token","Look at Us, We're R&D // Look at Us, We're R&D (cont'd)","3","","","","bad83e8b-d79b-5df4-90de-c62704d96ace","","","","","","MBRO","b","","","","• Casting Cost\n• Card Type\n• Card Text\n• Power & Toughness (if the card has a type that requires it)\nNext, the artist draws what they think the card would look like. Finally, the writer gives the card a name and flavor text to bring it all together and finish the card. Rotate roles until everyone has had the chance to be an artist and writer.\nTO WIN:\nOnce each player has had a chance to play each role, present your created cards. Players vote to nominate their favorites for the following categories: most powerful, least functional, and most flavorful.","","Card","Card","f97782cb-22dc-563e-80bc-a51cca0e1815",""
"Igor Kieryluk","9c3e9d17-509f-485c-9360-46d897ce716b","","paper","default","black","B","B",NA,"","nonfoil","","",2003,0,1,NA,NA,NA,NA,NA,"","English","token","Germ","1","","","","","0","setpromo","{'reverseRelated': ['Phyrexian Germ']}","Phyrexian Germ","","TMBS","","","Germ","","","0","Token Creature — Germ","Token, Creature","4deea936-a240-5438-9385-a36f95b532d0",""
"Dave Kendall","8a5540a8-18c9-4fa9-802c-59d6866114d5","","paper","default","black","B","B",NA,"","nonfoil","","",2003,0,1,NA,NA,NA,1,NA,"","English","token","Zombie","2","","","","","2","setpromo","{'reverseRelated': ['Waste Not', 'Awaken the Erstwhile', 'Empty the Pits', 'Wight', ""Gisa's Bidding"", 'Oath of Liliana', 'Ghoulcaller Gisa', 'Bridge from Below', 'Shamble Back', 'Doomed Dissenter', 'The Fourth Sphere', ""Ghoulcaller's Accomplice"", 'Cryptbreaker', ""Drana's Chosen"", 'Rakshasa Gravecaller', 'Tymaret Calls the Dead', 'Graveyard Marshal', 'Open the Graves', 'Dying to Serve', 'Acererak the Archlich', 'Cradle of the Accursed', 'Undead Alchemist', 'Midnight Ritual', 'Rise from the Tides', 'Bone Miser', 'Nevinyrral, Urborg Tyrant', 'Sidisi, Brood Tyrant', 'Archdemon of Unx', 'Feast or Famine', 'Hour of Promise', 'Rank Officer', 'Stir the Sands', 'Undead Servant', 'Liliana, Dreadhorde General', 'Dread Summons', 'Boneclad Necromancer', 'Liliana, the Last Hope', 'Vile Rebirth', 'Endless Ranks of the Dead', 'Curse of Disturbance', 'Tormod, the Desecrator', 'Cemetery Reaper', 'Army of the Damned', ""Liliana, Death's Majesty"", 'Aphemia, the Cacophony', 'Drunau Corpse Trawler', 'Oglor, Devoted Assistant', 'Assemble the Rank and Vile', 'Grixis Slavedriver', ""Necromancer's Covenant"", 'Necromentia', 'Reap the Seagraf', ""Liliana's Reaver"", 'Varina, Lich Queen', 'Tombstone Stairwell', 'Wand of Orcus', 'From Under the Floorboards', 'Cellar Door', 'Invasion of Innistrad // Deluge of the Dead', 'Xathrid Necromancer', 'Necrotic Hex', 'Field of the Dead', 'Lair of the Ashen Idol', 'Necromaster Dragon', ""Liliana's Devotee"", 'Liliana, Heretical Healer // Liliana, Defiant Necromancer', 'Null Caller', 'Syphon Flesh', ""Liliana's Mastery"", 'Sarcomancy', 'Zombie Infestation', 'Never // Return', 'Overseer of the Damned', 'Skull Skaab', 'Dunes of the Dead', 'Moan of the Unhallowed', 'Unscythe, Killer of Kings', 'Graf Harvest', 'Headless Rider', ""Necromancer's Stockpile"", 'Curse of Shallow Graves', 'Maalfeld Twins', 'Rotlung Reanimator', 'Kalitas, Traitor of Ghet', 'Tobias, Doomed Conqueror', 'Magus of the Bridge', 'Wakedancer', 'Havengul Runebinder', 'Suspicious Shambler', 'Noosegraf Mob', 'Grave Titan', 'Dark Salvation', 'Death Tyrant', 'Captive Audience', 'The Book of Vile Darkness', 'Diregraf Colossus']}","Waste Not, Awaken the Erstwhile, Empty the Pits, Wight, Gisa's Bidding, Oath of Liliana, Ghoulcaller Gisa, Bridge from Below, Shamble Back, Doomed Dissenter, The Fourth Sphere, Ghoulcaller's Accomplice, Cryptbreaker, Drana's Chosen, Rakshasa Gravecaller, Tymaret Calls the Dead, Graveyard Marshal, Open the Graves, Dying to Serve, Acererak the Archlich, Cradle of the Accursed, Undead Alchemist, Midnight Ritual, Rise from the Tides, Bone Miser, Nevinyrral, Urborg Tyrant, Sidisi, Brood Tyrant, Archdemon of Unx, Feast or Famine, Hour of Promise, Rank Officer, Stir the Sands, Undead Servant, Liliana, Dreadhorde General, Dread Summons, Boneclad Necromancer, Liliana, the Last Hope, Vile Rebirth, Endless Ranks of the Dead, Curse of Disturbance, Tormod, the Desecrator, Cemetery Reaper, Army of the Damned, Liliana, Death's Majesty, Aphemia, the Cacophony, Drunau Corpse Trawler, Oglor, Devoted Assistant, Assemble the Rank and Vile, Grixis Slavedriver, Necromancer's Covenant, Necromentia, Reap the Seagraf, Liliana's Reaver, Varina, Lich Queen, Tombstone Stairwell, Wand of Orcus, From Under the Floorboards, Cellar Door, Invasion of Innistrad // Deluge of the Dead, Xathrid Necromancer, Necrotic Hex, Field of the Dead, Lair of the Ashen Idol, Necromaster Dragon, Liliana's Devotee, Liliana, Heretical Healer // Liliana, Defiant Necromancer, Null Caller, Syphon Flesh, Liliana's Mastery, Sarcomancy, Zombie Infestation, Never // Return, Overseer of the Damned, Skull Skaab, Dunes of the Dead, Moan of the Unhallowed, Unscythe, Killer of Kings, Graf Harvest, Headless Rider, Necromancer's Stockpile, Curse of Shallow Graves, Maalfeld Twins, Rotlung Reanimator, Kalitas, Traitor of Ghet, Tobias, Doomed Conqueror, Magus of the Bridge, Wakedancer, Havengul Runebinder, Suspicious Shambler, Noosegraf Mob, Grave Titan, Dark Salvation, Death Tyrant, Captive Audience, The Book of Vile Darkness, Diregraf Colossus","","TMBS","","","Zombie","","","2","Token Creature — Zombie","Token, Creature","65392510-3980-5122-a0e1-40f6e08304b6",""
"Svetlin Velinov","ffd063ae-c097-4f26-b2e6-b1e2137708bc","","paper","default","black","","",NA,"","nonfoil","","",2003,0,1,NA,NA,NA,NA,NA,"","English","token","Golem","3","","","","","9","setpromo","{'reverseRelated': ['Titan Forge']}","Titan Forge","","TMBS","","","Golem","","","9","Token Artifact Creature — Golem","Token, Artifact, Creature","739eae77-2810-5d5e-8c6b-203db53cdd3b",""
"Scott Chou","9e048547-f9c3-4958-9c2c-91e45df7c6ae","","paper","default","black","","",NA,"","nonfoil","","",2003,0,1,NA,NA,NA,NA,NA,"","English","token","Horror","4","","","","","*","setpromo","{'reverseRelated': ['Profane Transfusion']}","Profane Transfusion","","TMBS","","","Horror","","","*","Token Artifact Creature — Horror","Token, Artifact, Creature","6f296fb6-0425-553d-9744-e16a81199d28",""
"Volkan Baǵa","93bec3c0-0260-4d31-8064-5d01efb4153f","","paper","default","black","","",NA,"","nonfoil","","",2003,0,1,NA,NA,NA,NA,NA,"Flying","English","token","Thopter","5","","","","","1","setpromo","{'reverseRelated': ['Thopter Assembly', 'Foundry of the Consuls', 'Barbed Spike', 'Access Denied', 'Experimental Aviator', 'Thopter Spy Network', 'Thopter Engineer', 'Sai, Master Thopterist', 'Dovin, Grand Arbiter', 'Efficient Construction', 'Launch Mishap', 'Inspired Sphinx', 'Pia Nalaar, Consul of Revival', 'Saheeli, Filigree Master', 'Whirler Rogue', 'Ghirapur Gearcrafter', 'Pia Nalaar', 'Maverick Thopterist', 'Sweep the Skies', 'Thopter Pie Network', 'Loyal Apprentice', 'Pia and Kiran Nalaar', 'Fairgrounds Patrol', ""Breya's Apprentice"", 'Thopter Mechanic', 'Retrofitter Foundry', 'Aviation Pioneer', 'Aspiring Aeronaut', 'Thopter Shop', 'Etherium Spinner', 'Invasion of Kaladesh // Aetherwing, Golden-Scale Flagship', 'Whirlermaker', 'Depose // Deploy', 'Hangarback Walker', 'Tezzeret, Artifice Master', 'Thopter Squadron', 'Filigree Crawler', 'Whirler Virtuoso']}","Thopter Assembly, Foundry of the Consuls, Barbed Spike, Access Denied, Experimental Aviator, Thopter Spy Network, Thopter Engineer, Sai, Master Thopterist, Dovin, Grand Arbiter, Efficient Construction, Launch Mishap, Inspired Sphinx, Pia Nalaar, Consul of Revival, Saheeli, Filigree Master, Whirler Rogue, Ghirapur Gearcrafter, Pia Nalaar, Maverick Thopterist, Sweep the Skies, Thopter Pie Network, Loyal Apprentice, Pia and Kiran Nalaar, Fairgrounds Patrol, Breya's Apprentice, Thopter Mechanic, Retrofitter Foundry, Aviation Pioneer, Aspiring Aeronaut, Thopter Shop, Etherium Spinner, Invasion of Kaladesh // Aetherwing, Golden-Scale Flagship, Whirlermaker, Depose // Deploy, Hangarback Walker, Tezzeret, Artifice Master, Thopter Squadron, Filigree Crawler, Whirler Virtuoso","","TMBS","","","Thopter","","Flying","1","Token Artifact Creature — Thopter","Token, Artifact, Creature","6bab41d8-75fc-5971-9e78-e24e3a03a8e2","mirran"
"","","","paper","default","black","","",NA,"","nonfoil","","",2003,0,1,NA,NA,NA,1,NA,"","English","token","Poison Counter","6","","","","","","setpromo","","","","TMBS","","","","","(A player with ten or more poison counters loses the game.)","","Card","Card","0cda0fd0-632a-576b-be49-b41982770b3a",""
"","","","paper","","black","","",NA,"Roll for Initiative","nonfoil, foil","","",2015,1,1,NA,NA,NA,1,NA,"","English","double_faced_token","Roll for Initiative // Roll for Initiative (cont'd)","1","","","","12cef4df-0168-5a8e-8f2b-84fc31cc3dce","","","","","","MCLB","a","","","","2+ players | 1+ packs | 5 minutes | d20\nOBJECTIVE:\nAs you enter the room, the terrible dragon opens its eyes and lets out a roar. Everybody... roll for initiative! Roll a d20 and modify the result with some _Magic_ cards to get the highest initiative!\nGET READY:\nOpen a booster and remove all cards without _Magic_ card backs. Use an additional booster for groups of five players or more. Shuffle, then deal the same number of cards to each player. If there are extra cards after dealing, set them aside. Each player then rolls a d20 to determine their *initiative*. In case of a tie, the tied players roll again. The player with the lowest starting initiative goes first.\nLET'S PLAY:\nOn each player's turn, they play a card to modify a player's initiative (see reverse side for card effects). Cards with effects that will be counted at the end of the game should be placed in front of the target player. All other cards go into the discard pile.","","Card","Card","961f1a79-af87-54d7-a823-149ab6aece47",""
"","","","paper","","black","","",NA,"Roll for Initiative (cont'd)","nonfoil, foil","","",2015,1,1,NA,NA,NA,1,NA,"","English","double_faced_token","Roll for Initiative // Roll for Initiative (cont'd)","1","","","","961f1a79-af87-54d7-a823-149ab6aece47","","","","","","MCLB","b","","","","Play continues until all players are out of cards.\n*White Card*: At the end of the game, increase a player's roll by 2.\n*Blue Card*: Reroll another player's die, but use the new result only if it's lower.\n*Black Card*: At the end of the game, decrease a player's roll by 2.\n*Red Card*: Reroll another player's die. They must use the new result.\n*Green Card*: Reroll your own die, but use the new result only if it's higher.\n*Colorless Card*: Each player may reroll their die. if they do, they must use the new result.\n*Multicolored Card*: Apply the effects of each of the card's colors. Each effect can target a different player.\n*Any Card Played Face Down*: At the end of the game, increase or decrease a player's die roll by 1.\nTO WIN:\nOnce everyone is out of cards, check to see who has the highest roll. That player wins initiative!","","Card","Card","12cef4df-0168-5a8e-8f2b-84fc31cc3dce",""
"","","","paper","","black","","",NA,"Mimic Match","nonfoil, foil","","",2015,1,1,NA,NA,NA,1,NA,"","English","double_faced_token","Mimic Match // Mimic Match (cont'd)","2","","","","43ed7d3c-abb8-5557-a982-575d5b9e9de4","","","","","","MCLB","a","","","","2-4 players | 2+ packs | 10 minutes\nOBJECTIVE: Match and collect the most treasure chests before someone uncovers the mimics hiding amongst the loot!\nGET READY: Open one booster per player and remove any lands and cards without _Magic_ card backs, and then shuffle them together. Then put *two lands* back into the deck (to represent the mimics) and shuffle. Deal 16 cards face down in a *4x4 grid*. Randomly determine who goes first.\nLET'S PLAY:\nOn your turn, secretly look at *two cards* from the grid. If they share a *color* or *mana value*, you may reveal them, announce what matches and take those cards, then take another turn.","","Card","Card","15b1662f-3024-5fdd-82c4-3ef1fcf61d96",""
"","","","paper","","black","","",NA,"Mimic Match (cont'd)","nonfoil, foil","","",2015,1,1,NA,NA,NA,1,NA,"","English","double_faced_token","Mimic Match // Mimic Match (cont'd)","2","","","","15b1662f-3024-5fdd-82c4-3ef1fcf61d96","","","","","","MCLB","b","","","","Otherwise, leave them in place, and the next player takes their turn.\nNOTE: Colorless cards can be matched with other colorless cards, but mimics can only be matched with each other.\nAfter a match has been made, replace the empty spaces with two new cards from the deck, face down.\nThe game ends when a player reveals the two mimics, uncovering them!\nTO WIN:\nAt the end of the game, each player scores 1 point for every card they collected. The player who uncovered the mimics by matching the two lands scores an additional 2 points. If there is a tie, the player who uncovered the mimics decides who wins!","","Card","Card","43ed7d3c-abb8-5557-a982-575d5b9e9de4",""
"","","","paper","","black","","",NA,"Mini-Master","nonfoil, foil","","",2015,1,1,NA,NA,NA,NA,NA,"","English","double_faced_token","Mini-Master // Mini-Master (cont'd)","3","","","","8636d7ee-7055-5cf8-96b1-4ced17d541f5","","","","","","MCLB","a","","","","2 players | 2 packs. 10 minutes | Basic Lands\nOBJECTIVE:\nPlay a quick game of Magic using only the cards in a single pack. You may also know this game as Pack Wars!\nGET READY:\nEach player opens a pack and sets aside any cards without Magic card backs, trying not to look at the rest of the cards. Then they add three of each basic land (Plains, Island, Swamp, Mountain, and Forest) to their ppack and shuffle. This becomes the player's deck.\nLET'S PLAY:\nRandomly determine who goes first, then play a game of Magic! There are many variants of Mini-Master. The following are modified rules you can add to your game:","","Card","Card","b7151ca2-606a-55f5-a0e6-24919e77e490",""
"","","","paper","","black","","",NA,"Mini-Master (cont'd)","nonfoil, foil","","",2015,1,1,NA,NA,NA,NA,NA,"","English","double_faced_token","Mini-Master // Mini-Master (cont'd)","3","","","","b7151ca2-606a-55f5-a0e6-24919e77e490","","","","","","MCLB","b","","","","If you have two or more copies of any basic land, you can tap other lands as though they were lands of that type. This can help you pay costs with lots of mana symbols in them.\nAfter the first game, add another pack to your deck, look at the contents, then cut cards until you have 30. Do this again for game three!\nNot feeling your deck? Replace the whole thing with a new pack between games!\nTO WIN:\nThe first player to win two games wins the match.","","Card","Card","8636d7ee-7055-5cf8-96b1-4ced17d541f5",""
"Goran Josic","522bfda2-454a-4a74-b717-42930040f73a","","paper","","black","W","W",NA,"","nonfoil","","",2003,0,1,NA,NA,NA,1,NA,"","English","token","Soldier","1","","","","","1","setpromo","{'reverseRelated': ['Phyrexian Warhorse', ""Elspeth, Sun's Champion"", 'First Response', 'Throne of Empires', 'Deploy to the Front', 'Baird, Argivian Recruiter', 'Entrapment Maneuver', 'Security Detail', 'Undercellar Sweep', 'Martial Coup', 'Sergeant-at-Arms', 'Launch the Fleet', 'Benalish Commander', 'Torsten, Founder of Benalia', 'Precinct Captain', 'Scout the Wilderness', 'Murder Investigation', 'Hero of Bladehold', ""Captain's Call"", 'Basri Ket', 'Keeper of the Accord', 'Tura Kennerüd, Skyknight', 'Prava of the Steel Legion', 'Evangel of Heliod', 'Company Commander', 'Raise the Alarm', 'Queen Allenal of Ruadach', 'Elspeth Tirel', 'Knight-Captain of Eos', 'Keldon Strike Team', 'Timely Reinforcements', 'Decree of Justice', 'Bant Sojourners', 'Mobilization', 'Veteran Soldier', 'Even the Odds', 'Protect the Negotiators', ""You're Confronted by Robbers"", 'Lieutenants of the Guard', 'Defiler of Faith', 'Kjeldoran Outpost', 'Akroan Horse', 'Skyknight Vanguard', ""Elspeth's Talent"", 'Stormfront Riders', 'Captain of the Watch', 'Lena, Selfless Champion', 'Ancestral Blade', 'Ironroot Warlord', 'Attended Knight', 'Alliance of Arms', 'Heroic Reinforcements', 'Argivian Cavalier', ""Abdel Adrian, Gorion's Ward"", ""Historian's Boon"", ""Horn of Valhalla // Ysgard's Call"", 'Darien, King of Kjeldor', 'Recruitment Drive', 'Secure the Scene', 'Recruit the Worthy', 'King Darien XLVIII', 'Resolute Reinforcements', 'Elspeth, Knight-Errant', 'Memorial to Glory']}","Phyrexian Warhorse, Elspeth, Sun's Champion, First Response, Throne of Empires, Deploy to the Front, Baird, Argivian Recruiter, Entrapment Maneuver, Security Detail, Undercellar Sweep, Martial Coup, Sergeant-at-Arms, Launch the Fleet, Benalish Commander, Torsten, Founder of Benalia, Precinct Captain, Scout the Wilderness, Murder Investigation, Hero of Bladehold, Captain's Call, Basri Ket, Keeper of the Accord, Tura Kennerüd, Skyknight, Prava of the Steel Legion, Evangel of Heliod, Company Commander, Raise the Alarm, Queen Allenal of Ruadach, Elspeth Tirel, Knight-Captain of Eos, Keldon Strike Team, Timely Reinforcements, Decree of Justice, Bant Sojourners, Mobilization, Veteran Soldier, Even the Odds, Protect the Negotiators, You're Confronted by Robbers, Lieutenants of the Guard, Defiler of Faith, Kjeldoran Outpost, Akroan Horse, Skyknight Vanguard, Elspeth's Talent, Stormfront Riders, Captain of the Watch, Lena, Selfless Champion, Ancestral Blade, Ironroot Warlord, Attended Knight, Alliance of Arms, Heroic Reinforcements, Argivian Cavalier, Abdel Adrian, Gorion's Ward, Historian's Boon, Horn of Valhalla // Ysgard's Call, Darien, King of Kjeldor, Recruitment Drive, Secure the Scene, Recruit the Worthy, King Darien XLVIII, Resolute Reinforcements, Elspeth, Knight-Errant, Memorial to Glory","","TMD1","","","Soldier","","","1","Token Creature — Soldier","Token, Creature","80b204b3-7059-5c9f-9e5e-f55cbe8b646a",""
